time,photo,city,id
05/04/2024 16.05.45,https://drive.google.com/open?id=1_R0afcqeLfmNfyeawBdGQ9Xclosiq5Bp,new york,: COPIÉA3T3P1CT4W3DZN
05/04/2024 16.54.34,https://drive.google.com/open?id=1m3__5cUzwvkkYsP1hjlx29Hil3b1XudL,"Wilmington, Delaware (US)",A31Z62AESAWGKT
05/04/2024 16.56.59,https://drive.google.com/open?id=1If42HGWYHuKO5Q5ZPVj2qo06NC4g589T,"Wilmington, Delaware (US)",A31Z62AESAWGKT
05/04/2024 17.05.54,https://drive.google.com/open?id=1nchnqM12WAi5W9ymiSY8sMLUkC35pE_N,Scotland ,A35GIZJO5TDS7Q
05/04/2024 17.10.58,https://drive.google.com/open?id=1BpO8KBNEU0bw8obq266neTfJRRfrFahN,Scotland ,A35GIZJO5TDS7Q
05/04/2024 17.24.39,https://drive.google.com/open?id=1E_m7QseptXsFXKCMdHwy51TeodunbYpH,"Gurnee, IL",A31KCDHZZ924XZ
05/04/2024 17.27.17,https://drive.google.com/open?id=1nMILHLjjdz_pZWDAFpoyQ6EXOEsvAEM6,"Longmont, CO",A183080QAPVZ4I
05/04/2024 17.59.18,https://drive.google.com/open?id=1kAfcmoPErO5Tu36NOjeLFZBaJukiwfaW,Durham,COPIEDA1VJOFPTXC9U97
05/04/2024 18.13.27,https://drive.google.com/open?id=1z0RAnxtYiX0lBSj2f3KwflSg3dm9_01D,Bennettsville,AI6VWG1RGJ8P3
05/04/2024 18.15.08,https://drive.google.com/open?id=1u3aOhp_I3s7O_nY-do7S8tXfcvVvpq8H,Bennettsville,AI6VWG1RGJ8P3
