img	city	Latitude	Longitude
https://drive.google.com/u/0/open?usp=forms_web&id=1Q07rDdHIHUvUvZAHhxAR2CTzePGTG8qd	Cedar City, US	37.6774238	-113.061827
https://drive.google.com/u/0/open?usp=forms_web&id=1a1l25fvyGBqiSviOZhLqq3MYXSuzFxVU	Undefined, US	39.7837304	-100.445882
https://drive.google.com/u/0/open?usp=forms_web&id=1Q16NkG6tglBmV9egjiQLqSJOckanAfeV	Bolingbrook, US	41.7003302	-88.0717708
https://drive.google.com/u/0/open?usp=forms_web&id=1NsV7mVnb8V5IUXXghJnMg9TWOnrtczTd	Bolingbrook, US	41.7003302	-88.0717708
https://drive.google.com/u/0/open?usp=forms_web&id=1y9BjeIurkE8-_kk4Cg87it8UyvPiZKxT	Undefined, US	39.7837304	-100.445882
https://drive.google.com/u/0/open?usp=forms_web&id=13LX1v8Qn4xP-Wxt0ZLJqX7iOK9Ffk4FR	Undefined, IN	22.3511148	78.6677428
https://drive.google.com/u/0/open?usp=forms_web&id=161c2XuTN71NB79j5hwLdZCZvBn2ZlsmC	Undefined, US	37.1232245	-78.4927721
https://drive.google.com/u/0/open?usp=forms_web&id=1zDG9k0QUIp53_ccLXX1CpM2y_KSh9OhF	Gijón / Xixón, ES	43.5449422	-5.66275
https://drive.google.com/u/0/open?usp=forms_web&id=1Mej-OBZXk5dNYBdV-SgZlaq85JZsVLrB	Undefined, IN	22.3511148	78.6677428
https://drive.google.com/u/0/open?usp=forms_web&id=1mCzz5LOUsx4C4mK6_RI8Z9QemAcyqm9W	Undefined, US	39.7837304	-100.445882
https://drive.google.com/u/0/open?usp=forms_web&id=1XZZvXC3jnKh0LQn4ZUITEafDzokEKBIe	New Britain, US	41.6612104	-72.7795419
https://drive.google.com/u/0/open?usp=forms_web&id=1bJWYQYr89UyhA-DWn74Mm4K_rUHx3KOW	City of New York, US	40.5724274	-74.14520777205962
https://drive.google.com/u/0/open?usp=forms_web&id=1BC0CytP5_dIp6vIeJDjVYuuJQPMDASdb	City of London, GB	51.5126762	-0.0872791
https://drive.google.com/u/0/open?usp=forms_web&id=1btogrl18Fbw9jb-GeuccR6dfL-ZDtKj7	Undefined, IN	22.3511148	78.6677428
https://drive.google.com/u/0/open?usp=forms_web&id=1Ba-1Ui8Ey3w3Ft_3Zj_0cZ2GRzzLYl3d	Chennai, IN	13.0836939	80.270186
https://drive.google.com/u/0/open?usp=forms_web&id=10Fp5D8QhhNNw7G71w1u6JrafrJnpU6Af	City of New York, US	40.7127281	-74.0060152
https://drive.google.com/u/0/open?usp=forms_web&id=19xBi9Gk2beruvQ4ZTwDbeA1Y5_V0Fm6f	Undefined, US	39.7837304	-100.445882
https://drive.google.com/u/0/open?usp=forms_web&id=1mpGm7vmYtKbPc6MB16DY08hcGLH1yq4N	Richmond, US	37.5385087	-77.43428
https://drive.google.com/u/0/open?usp=forms_web&id=1ZiEcMmkEU7l3TIGZGg2tudnBWmr0BJkT	San Antonio, US	29.4246002	-98.4951405
https://drive.google.com/u/0/open?usp=forms_web&id=1MR4SWDRyHvggbKnPPwLpKcN7xCIN3zDS	Pflugerville, US	30.4393696	-97.6200043
https://drive.google.com/u/0/open?usp=forms_web&id=1UO07nt1gS7pY4dpsWmZiOkqadw-LS2fi	Rescaldina, IT	45.6159737	8.9489311
https://drive.google.com/u/0/open?usp=forms_web&id=1buAD5yhSkM9asnj7Au2psI2n9J4Z5VG9	Kottayam, IN	9.591564	76.5221599
https://drive.google.com/u/0/open?usp=forms_web&id=1NoqDXVOIwyTFcjRAKxsT5RNBkTnGsZNZ	Undefined, US	39.7837304	-100.445882
https://drive.google.com/u/0/open?usp=forms_web&id=18llpevOJ8cFY_HPzfx8gkbX2BFcCLj3A	Undefined, US	39.7837304	-100.445882
https://drive.google.com/u/0/open?usp=forms_web&id=1i-C25iJeCprvBYvJN451dBY43ex4xxr8	Caracas, VE	10.5060934	-66.9146008
