id	mode	chain_id	step	location	country	latitude	longitude	typology	tags	image_id	source_image_url	local_image_url	image_url	text	sentiment	source_row	order_hint
broken-143-text	broken	broken-143	text	Louisiana	US	30.8703881	-92.007126	nature	broken,text,description,nature					I SEE THE WINDOWS OF THE BUILDING AND TREES FROM MY BUILDING		145	477
broken-143-drawing	broken	broken-143	drawing	san leandro				drawing_response	broken,image,drawing	1St_NEdAH3IxKoxs2sCpEeHYL6CxOr56k	https://lh3.googleusercontent.com/d/1St_NEdAH3IxKoxs2sCpEeHYL6CxOr56k=w2200	/images/1St_NEdAH3IxKoxs2sCpEeHYL6CxOr56k.jpg	/images/1St_NEdAH3IxKoxs2sCpEeHYL6CxOr56k.jpg			145	478
broken-144-image	broken	broken-144	image	Undefined	US	40.3270127	-86.1746933	window_photo	broken,image,window	1D0ZFMKRlm30F-9zmIs0lqsHfhcdzJOXC	https://lh3.googleusercontent.com/d/1D0ZFMKRlm30F-9zmIs0lqsHfhcdzJOXC=w2200	/images/1D0ZFMKRlm30F-9zmIs0lqsHfhcdzJOXC.jpg	/images/1D0ZFMKRlm30F-9zmIs0lqsHfhcdzJOXC.jpg			146	479
broken-144-text	broken	broken-144	text	Louisiana	US	30.8703881	-92.007126	nature	broken,text,description,nature					I SEE THE WINDOWS OF THE BUILDING AND TREES FROM MY BUILDING		146	480
broken-144-drawing	broken	broken-144	drawing	east hampton				drawing_response	broken,image,drawing	1iOg8A6iPPOsH3XyFZ7EjDVaqyXCkKqZT	https://lh3.googleusercontent.com/d/1iOg8A6iPPOsH3XyFZ7EjDVaqyXCkKqZT=w2200	/images/1iOg8A6iPPOsH3XyFZ7EjDVaqyXCkKqZT.jpg	/images/1iOg8A6iPPOsH3XyFZ7EjDVaqyXCkKqZT.jpg			146	481
windows-100	windows		image	Undefined	US	25.957876	-80.192892	window_photo	windows,image,photo	1fZHBHrlqbFf0kgtCO8zR2BusU9aAfESW	https://lh3.googleusercontent.com/d/1fZHBHrlqbFf0kgtCO8zR2BusU9aAfESW=w2200	/images/1fZHBHrlqbFf0kgtCO8zR2BusU9aAfESW.jpg	/images/1fZHBHrlqbFf0kgtCO8zR2BusU9aAfESW.jpg			147	482
broken-145-image	broken	broken-145	image	Undefined	US	25.957876	-80.192892	window_photo	broken,image,window	1fZHBHrlqbFf0kgtCO8zR2BusU9aAfESW	https://lh3.googleusercontent.com/d/1fZHBHrlqbFf0kgtCO8zR2BusU9aAfESW=w2200	/images/1fZHBHrlqbFf0kgtCO8zR2BusU9aAfESW.jpg	/images/1fZHBHrlqbFf0kgtCO8zR2BusU9aAfESW.jpg			147	483
broken-145-text	broken	broken-145	text	Rio de Janeiro	BR	-22.9110137	-43.2093727	urban	broken,text,description,urban					a house window		147	484
broken-145-drawing	broken	broken-145	drawing	Cagliari				drawing_response	broken,image,drawing	1-bTWV35PZXm1lt9lSydXHFwXW4QEGEcy	https://lh3.googleusercontent.com/d/1-bTWV35PZXm1lt9lSydXHFwXW4QEGEcy=w2200	/images/1-bTWV35PZXm1lt9lSydXHFwXW4QEGEcy.jpg	/images/1-bTWV35PZXm1lt9lSydXHFwXW4QEGEcy.jpg			147	485
windows-101	windows		image	Oakland	US	37.8044557	-122.2713563	window_photo	windows,image,photo	1eeccqrnLfQGVnk5HdH9CM6UgGOMDYrmX	https://lh3.googleusercontent.com/d/1eeccqrnLfQGVnk5HdH9CM6UgGOMDYrmX=w2200	/images/1eeccqrnLfQGVnk5HdH9CM6UgGOMDYrmX.jpg	/images/1eeccqrnLfQGVnk5HdH9CM6UgGOMDYrmX.jpg			148	486
broken-146-image	broken	broken-146	image	Oakland	US	37.8044557	-122.2713563	window_photo	broken,image,window	1eeccqrnLfQGVnk5HdH9CM6UgGOMDYrmX	https://lh3.googleusercontent.com/d/1eeccqrnLfQGVnk5HdH9CM6UgGOMDYrmX=w2200	/images/1eeccqrnLfQGVnk5HdH9CM6UgGOMDYrmX.jpg	/images/1eeccqrnLfQGVnk5HdH9CM6UgGOMDYrmX.jpg			148	487
broken-146-text	broken	broken-146	text	Connecticut	US	41.6500201	-72.7342163	nature	broken,text,description,nature					I see the cars are running in the road. One tree is standing alone. One black color and one white color are standing at their house.		148	488
windows-102	windows		image	Mesquite	US	32.7666103	-96.599472	window_photo	windows,image,photo	1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc	https://lh3.googleusercontent.com/d/1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc=w2200	/images/1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc.jpg	/images/1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc.jpg			149	489
broken-147-image	broken	broken-147	image	Mesquite	US	32.7666103	-96.599472	window_photo	broken,image,window	1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc	https://lh3.googleusercontent.com/d/1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc=w2200	/images/1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc.jpg	/images/1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc.jpg			149	490
broken-147-text	broken	broken-147	text	United States	US	39.7837304	-100.445882	urban	broken,text,description,urban					THIS IS HOUSE FRONT SIDE		149	491
