"Informazioni cronologiche","Upload a photo of the view from your window","In which city do you live?","Insert your Worker ID"
"2022/06/14 1:26:20 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1dbZ5b8lqd348MKBrYv1S82PQcVqanZ0Z","St-Lambert, Qc, Canada","A3NYLEEL28L2WI"
"2022/06/14 1:29:28 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1oT3qdphQOEJaRLxd29SOedRiEhu9DgRa","Columbus,Ohio ","AUB1E2FAPP81P"
"2022/06/14 1:37:26 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1xeKXdQq86X6NmWXXdghCGOfLETteOctm","Sarasota","A1M8W85HGL2AL2"
"2022/06/14 1:41:22 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=18pbzFzGA-sZd-yM7S0pBFq9x4O4eKiph","maharashtra","AD1ILDUXZHASF"
"2022/06/14 1:43:43 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1M5AWITFCvsSqNXtRBekqrrPrZw-Moni8","USA","A1XMC62NYIZOU7"
"2022/06/14 2:14:16 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1rIMqXhJVxFerDpt87xVVSNMjAQYf5iIL","Knoxville ","A1NQHBV50V6X65"
"2022/06/14 2:24:12 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1akhjqC4IfC_ZC_Edp0FAnuPdtEfOg1-E","Wood River IL","AMQGOTPBRWYSF"
"2022/06/14 1:39:50 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1ajp_rW0tWwkj_6Sq0q9-C2oDOPW-SOpd","coimbatore","A33Z442WJQ8ADC"
"2022/06/14 1:57:45 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1PlNf4xliVqG7H7BYGzWtH1vT27-1jUfq","Pontiac, SC","A3UKRC3LBM1LEW"
"2022/06/14 2:31:45 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1pyeQnGa8rfkUyzy1QjQpYyjl-gRIYxJY","Varanasi","A2IXU3FG5NNBEX"
"2022/06/14 2:56:22 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1fZHBHrlqbFf0kgtCO8zR2BusU9aAfESW","CALIFORNI","A8L5BI37D9B3I"
"2022/06/14 3:04:00 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1_vTM9qBnjfUu2XrffgPHgbj6WRA795uq","Kuala Lumpur","A2T2C4XGKBOM5J"
"2022/06/14 3:09:39 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1fwUd1yVEpMYQHsUdYHlzW6lI1Wjb1LOM","New York","A3LV581MKKRXNU"
"2022/06/14 3:10:03 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1h6R77vRNrgY6O1reCCXOUhJtnvoR5R_f","BRAZIL","APPU3QLC0TEHI"
"2022/06/14 3:10:46 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1udQ58brOQr-u1zRYxOTvcn2XLs4gfanl","coimbatore","A33Z442WJQ8ADC"
"2022/06/14 3:16:39 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1Er4_gRgjhvsaBK4bl6o_UeWqKlGGiE1O","Wilkesboro ","A384XS1MBRMWD6"
"2022/06/14 3:16:40 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=16JhA98GQy67y5IqWY3Wv77GyANSMCaPf","Chennai","A714FAI9LIUO6"
"2022/06/14 3:25:22 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1eKWaSKZVTnS_dKfNz6pFBrFq2iNQZ4iW","indiana","A228C4PN63CAAF"
"2022/06/14 3:26:15 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1D0ZFMKRlm30F-9zmIs0lqsHfhcdzJOXC","indiana","A228C4PN63CAAF"
"2022/06/14 3:29:24 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1-fXILtkuPalD5aXwaq7tUJiRe-2Hm33-","Naples","A15XB5XU8TTK58"
"2022/06/14 3:30:20 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1EORwtND0V9uzDqDjRFL3LN8oKCgTTpMW","Rochester, NY","A2LEY4X3LD8G26"
"2022/06/14 3:32:36 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1Guv1pD_y9--R-MZ-nhCmkWUf2RmfNqXf","Ontario","A2HV7VRMFK1TX3"
"2022/06/14 3:34:11 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=168BHo_YaN7c4j0mH506n9DDP_ohx7MB3","Paesana","A2CHVTHBPOLEXK"
"2022/06/14 3:45:17 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1riHTP7ccR1H2Gx1WYsG76RBg3_-wjsaB","chennai, india","AJ43O59MBI55L"
"2022/06/14 3:50:47 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1I2bP0OqYeHX3unK1buAZBi9UNiP5bW2N","Guwahati","A9WHHKH0HKTOM"
"2022/06/14 3:51:49 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1_4CmMUd-BNycg_GPkguO4KT1wQLobp-u","BURGAW","ADV9NWUNSG6WL"
"2022/06/14 3:52:03 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1vXqGhm5Cx6_M2r5ZT6pf0e5nud-hDtid","Tucson","A21I0WIEOTAKNQ"
"2022/06/14 3:56:15 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1NdDR8hWPc1b0fWU6Vgp-wHL3BADyucyH","Mumbai","A1ESKJFDQUMBL4"
"2022/06/14 3:59:01 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1UrRcB97lQxFeIBVlrDETQ2VMF46LxEfr","Kirkintilloch","COPIEDA1C95I2XYKM2QD"
"2022/06/14 3:59:09 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1NTA6Y1MXdX5n1UKjeg2ZPqPRT-wHLM4L","Mumbai","A28QUR0QYD2WI7"
"2022/06/14 4:06:30 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1CGx-HMhA0NSVCVqS3_ukC7aMY5NBjC7y","Bayside, NY","A1IOO66GWR5ZCZ"
"2022/06/14 4:28:40 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1A7DdAJrn8qsghh0JSiEmxOUvB0wCk4wH","Manchester","A3Q6GCFP86BK1H"
"2022/06/14 4:30:17 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1g7E4gnLtidbBZoXO7_Sr6MZjv56JebB7","Santa Clarita","A2RMQJTHVSI59R"
"2022/06/14 4:31:30 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=15rFyE3PtFWujQGnGZBVmbt6JK2pI8puj","Rescaldina","A2DP42MZNLMART"
"2022/06/14 6:16:31 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1ug0O7h1c8BkXFHCAokPcVEl3-Wr43hoA","apopka","A4DP9QI2225WM"
"2022/06/14 6:30:16 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=13ItsVXfqhtPX6jLwTr2Caz6kUzTFg5hm","london","A3DW70C8KQRYZW"
"2022/06/16 11:42:41 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1w_kYW5qORzj5F4DV2wQpPGGXt-m_TTNX","louisville","A2KKPJY1TLXSLR"
"2022/06/16 11:49:49 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=105y2g5kQglhdNGMLFjkaUkZNNQml5OXl","West Plains ","A2FB38ABYVCJK9"
"2022/06/16 11:51:02 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1d23yXDjmvVrgbi6z7aMpHThvQ_6nbsas","CICERO","ATNYVMVJQ7S93"
"2022/06/16 11:56:16 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1j7rcz08uSpH2jlLjr0OZoOuvbjj0g9HY","Guildford","ADLCVKVN0KAQ9"
"2022/06/16 11:56:57 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1UMOC31lVNK34ny_BoxjoxPWX1Q1GpSsd","Ignace","A1U434E9MIR77T"
